Id,Name,Telefon / Primary Phone Number,Telefon / Primary Phone Country Code,Telefon / Primary Phone Calling Code,Telefon / Additional Phones,Domain Name / Link URL,Domain Name / Link Label,Domain Name / Secondary Links,GF,Zustand,Branche,emails,Bearbeiter,Notiz,Datum,Nächster Anruf,Summary,NextStep,Potential,Follow Up,After-Call-Email,ICP
ae2cb92a-de84-452f-a9f9-8d0d38ecc99a,zilmer,,,,[],,,[],,,,,{},,,,,,,,,false
16ad072b-e086-4c08-9574-7dc315fe8f2a,,,,,[],,,[],,,,,{},,,,,,,,KEINE_ERREICHBARKEIT_EMAIL,false
"cb31f704-c5e4-4f06-91b6-fa1799d534d3,Brock Kehrtechnik GmbH,234911740,DE,‍+49,[],https://www.brock-kehrtechnik.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",morgen,2026-07-07T07:30:05.000Z,2026-07-08,,,,,,false"
"26699e03-b966-4246-9e9c-054af9c8ca8a,CARGOTRANS (Bremen) GmbH,421387610,DE,‍+49,[],https://www.cargotransbremen.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",richard.richter@cargotransbremen.de,2026-07-07T07:30:13.000Z,,,,,,,false"
"bfe6493c-9e94-4a4c-b7b9-2b228c7bc902,Pharma Aldenhoven GmbH & Co. KG,24645890,DE,‍+49,[],https://pharma-aldenhoven.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",,,,,,,,,false"
"91d1e474-bd65-4ac2-ac9d-f5eabf00b5c9,Rosental Organics,7489289401,DE,‍+49,[],https://rosentalorganics.com,,[],,,ECOM,,""{""""0"""":""""SEBASTIAN""""}"",nicht erreichabr,2026-07-07T11:08:42.000Z,,,,,,,false"
"b17ca09b-eae0-4094-a946-e30f5cfee31c,SPIER GmbH & Co. Fahrzeugwerk KG,5233945106,DE,‍+49,[],https://www.spier.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",""E-Mail Schreiben, haben schon beschaffungsagenten"",2026-07-07T11:08:44.000Z,,,,,,,false"
"b2710197-c654-46bb-a7cd-d0f55352f2da,ELEO GmbH,9565509170,DE,‍+49,[],https://www.eleo.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",kundenservice@eleo-zaun.de,2026-07-07T11:08:45.000Z,,,,,,,false"
"5adba649-af34-4824-9219-8ca41cb40ea7,Muhr-Welding GmbH,384543350,DE,‍+49,[],https://www.muhr-welding.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",""Herr Allritz, 015162864893, Einführung eines neuen ERPSystems, Mail wird gesendet."",2026-07-07T11:08:47.000Z,,,,,,,false"
"e23da328-8d1a-4752-95d6-337e23e8b771,SolutiCon GmbH,61965255150,DE,‍+49,[],https://soluticon.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",1-Mann Beratungsfirma,2026-07-07T11:08:49.000Z,,,,,,,false"
"b586506a-a0a4-4e27-9303-be285c574ca5,BOARDLINK Healthcare GmbH,21154570686,DE,‍+49,[],https://boardlink-healthcare.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",,,,,,,,,false"
"fb32fd66-b1e3-4bc8-87da-b64f4bdba9a1,GGK,27799150,DE,‍+49,[],https://www.ggk-online.com,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",""218, das ist die durchwahl zur sachbearbeiterin, behaupten sie habne keine stellenanzeige"",2026-07-07T11:08:51.000Z,,,,,,,false"
"171fb2d9-b983-46f9-be66-0fea57949f36,Böttcher Gartenbau,6206702850,DE,‍+49,[],https://www.boettcher-gartenbau.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",kontakt@böttcher-gartenbau.de,2026-07-07T11:08:52.000Z,,,,,,,false"
"423ff25e-5bce-4aa2-abbc-bafdb14463fa,Ferronordic GmbH,69353571950,DE,‍+49,[],https://ferronordic.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",bewerbung@ferronordic.de,2026-07-07T11:08:54.000Z,,,,,,,false"
"34f72ad8-0a3f-4909-8702-c93f03767439,Teknos Deutschland GmbH,2163950970,DE,‍+49,[],https://www.teknos.com,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",In ALztenau anrufen beim Einkaufsleiter: 0602396110,2026-07-07T11:08:56.000Z,,,,,,,false"
"4a00ca2d-762c-43e7-ae6c-a5962e179725,roda computer GmbH,722795790,DE,‍+49,[],https://www.roda-computer.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",,,,,,,,,false"
"4925d12f-9b0e-4a8b-a15a-df07f864876b,FINOW,3334570,DE,‍+49,[],https://www.finow.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",,,,,,,,,false"
"0da0db49-d50e-445f-8edb-7ce42f446262,SB Security,86544039991,DE,‍+49,[],https://ts.domainname.de/sb-security.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",,,,,,,,,false"
"bf4ec816-db86-4330-a0a5-a705d90dc22c,Gossen Metrawatt GmbH,91186020,DE,‍+49,[],https://www.gmc-instruments.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",einkauf@ + personal@,2026-07-07T11:08:59.000Z,,,,,,,false"
"e9671709-ad3f-4d70-bc1e-3ae013096078,Auto Köhler GmbH & Co. KG,875186700,DE,‍+49,[],https://www.auto-koehler.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",e-Mail in info@,2026-07-07T11:09:00.000Z,,,,,,,false"
"6884f341-f375-4e4f-a278-52a66338ab23,Dexcel Pharma,602394800,DE,‍+49,[],https://www.dexcel-pharma.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",,,,,,,,,false"
"5750f46e-8e2b-4a0b-9378-e3973ddebcce,Zelaba GmbH,6042599980,DE,‍+49,[],,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",,,,,,,,,false"
"b97f1715-4823-4a8a-a246-85df1bf3d916,Wörmann-Team GmbH & Co. KG,52079290780,DE,‍+49,[],https://woermann-team.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",sucht kein Einkäufer,2026-07-07T11:09:03.000Z,,,,,,,false"
"7df27cf8-9dfe-44ea-9bd4-4da9fea33277,Medisca,8009321039,DE,‍+49,[],https://www.medisca.com,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",nicht erreicht,2026-07-07T11:09:05.000Z,,,,,,,false"
"6adbc90d-a167-4a5d-87be-96d3d846fc2b,Torqeedo GmbH,81539215100,DE,‍+49,[],http://www.torqeedo.com,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",kein ANprechpartner,2026-07-07T11:09:07.000Z,,,,,,,false"
"c1992a0d-3018-4f16-9ff0-87dec64800a7,Maryan Beachwear Group GmbH,776392010,DE,‍+49,[],https://www.maryan-beachwear-group.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",info@maryan-beachwear.de,2026-07-07T11:09:08.000Z,,,,,,,false"
"3ded280d-79af-4dec-ace3-4815941b39f4,Schell GmbH & Co. KG,27618920,DE,‍+49,[],https://www.schell.eu,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",""02761892-166, Herr Meisner, 193, Merz, andreas.merz@schell.eu"",2026-07-07T11:09:12.000Z,2026-07-15,,,,,,false"
"4ab247d3-5e87-402f-926f-290721c22fe9,Tintometer GmbH,231945100,DE,‍+49,[],http://www.lovibond.com,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",info@lovebond.com,2026-07-07T11:09:14.000Z,,,,,,,false"
"5dcaee1d-840c-4a83-9129-f86a3794f072,Wi IPP GmbH & Co. KG,61319164003,DE,‍+49,[],https://www.wi-ipp.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",nicht durchgekommen,2026-07-07T11:09:16.000Z,,,,,,,false"
"2d8fc836-9f40-4b30-95af-9495bac2df6b,Karcoma-Armaturen GmbH,15678392894,DE,‍+49,[],https://www.karcoma.com,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",können keine anrufe entgegennehmen,2026-07-07T11:09:17.000Z,,,,,,,false"
"00610c5c-6515-4264-8314-2987f84ec41b,HOLOGATE GmbH,89999500120,DE,‍+49,[],http://www.hologate.com,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",einkaufsleiter mittagspause,2026-07-07T11:09:22.000Z,,,,,,,false"
"de40e7d6-c601-4701-b6fb-1b179868bf6b,Bleichert Inc,6291930,DE,‍+49,[],https://www.bleichert.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",info@bleichert.de,2026-07-07T11:09:24.000Z,2026-07-15,,,,,,false"
"b7ed6c72-b761-47ff-8266-9b1d3b25e292,Ortovox,89666740,DE,‍+49,[],https://www.ortovox.com,,[],,,ECOM,,""{""""0"""":""""SEBASTIAN""""}"",außerhalb der Geschäftszeiten,2026-07-07T11:09:27.000Z,,,,,,,false"
"e0040e15-8abd-4e41-8650-642090b4103b,WEINMANN Emergency Medical Technology,408818960,DE,‍+49,[],https://www.weinmann-emergency.com/de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",,,,,,,,,false"
"22bdbb81-783b-4c36-bd14-7455e6f6a44e,FACTUREE,3062939390,DE,‍+49,[],https://www.facturee.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",""nehmen keine anrufe entgegen, info@"",2026-07-07T11:09:29.000Z,,,,,,,false"
"2743cd29-6282-4286-8541-467e85a67204,SK-tronic GmbH,3645453717,DE,‍+49,[],https://www.sk-tronic.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",,,,,,,,,false"
"6adb7369-1999-40e9-9eb3-2761987c5e89,STUR GmbH,15678392894,DE,‍+49,[],https://sturcookware.de,,[],,,ECOM,,""{""""0"""":""""SEBASTIAN""""}"",,,,,,,,,false"
"841ebb14-a4c3-4415-b6a4-788920b24915,Oehm und Rehbein GmbH,38136600500,DE,‍+49,[],https://www.oehm-rehbein.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",info@,2026-07-07T11:09:32.000Z,2026-07-15,,,,,,false"
"9298c26a-aace-4ae9-8400-2490fd9b8d7b,BÜCHI Labortechnik,201747490,DE,‍+49,[],https://www.buchi.com,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",nicht erreicht,2026-07-07T11:09:41.000Z,,,,,,,false"
"6933809b-6490-4b35-87cc-f8c6b66de9ca,prognum Automotive GmbH,7114004660,DE,‍+49,[],https://prognum.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",nicht erreicht,2026-07-07T11:09:44.000Z,,,,,,,false"
"aa432245-259b-487e-8158-67f4ce15f67f,Schauer Agrotronic,727723260,AT,‍+43,[],http://www.schauer-agrotronic.com,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",nicht erreicht,2026-07-07T11:09:46.000Z,,,,,,,false"
"d4035b97-4e6e-46ec-98de-04a4f2467208,Schnorpfeil Rhein-Main GmbH & Co. KG,610527660,DE,‍+49,[],https://schnorpfeil-rhein-main.com,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",nicht erreicht,2026-07-07T11:09:47.000Z,,,,,,,false"
"44e43133-ae5b-48da-a951-9959206b2f4b,Elektrotechnik Schuster,7327920170,DE,‍+49,[],http://www.et-schuster.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",,,,,,,,,false"
"2eb102dd-2586-46f1-8787-db1c943ee8fd,KGP Electronics,2351672100,DE,‍+49,[],https://www.kgp-electronics.de/en,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",""vertrieb rangegenagne, nochmal anrufen"",2026-07-07T11:09:49.000Z,2026-07-15,,,,,,false"
"e24c25e5-ac9e-43d8-94e5-2a7920dd4419,Indulor Chemie GmbH,546274120,DE,‍+49,[],https://www.indulor.com/de/unternehmen,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",morgen früh nochmal,2026-07-07T11:09:51.000Z,,,,,,,false"
"9bad2466-5b28-441d-9193-10b889e4a221,Heinz Walz GmbH,913377650,DE,‍+49,[],http://www.walz.com,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",""einkauf erreicht, kein Interesse"",2026-07-07T11:09:53.000Z,,,,,,,false"
"98f694f7-9b84-421f-af58-020d7b005035,DekoVries GmbH,44894047302,DE,‍+49,[],https://www.devries-group.de,,[],,,,,""{""""0"""":""""SEBASTIAN""""}"",nicht erreichbar,2026-07-07T11:09:56.000Z,,,,,,,false"
